,date,family,keys,ref,ref type,summary,tags
40,"August 15, 2018",None,"['burger', 'tofu', 'next']",http://www.crazyvegankitchen.com/simple-maple-dijon-tofu-burgers/,url,Maple dijon tofu burger with vegannaise. Decent number of ingredients.,['meal']
41,"August 15, 2018",,"['frittata', 'low-ish ingredients']",https://www.dietitiandebbie.com/2015/07/21/mini-vegan-frittatas/,url,Mini tofu frittatas.,"['meal', 'side', 'breakfast']"
42,"August 15, 2018",,"['avacado toast', 'bbq smoked tofu', 'simple']",https://www.exceedinglyvegan.com/vegan-recipes/soups-starters/bbq-avocado-courgette-and-smoked-tofu-sandwich,url,BBQ smoked tofu sandwich with toasted almonds,"['meal', 'side', 'breakfast']"
43,"August 15, 2018",,['tofu nuggets'],https://www.liveeatlearn.com/almond-crusted-baked-tofu-nuggets/,url,almond crusted baked tofu nuggets,"['side', 'simple']"
44,"August 15, 2018",,"['simple', 'tofu']",https://spicysouthernkitchen.com/asian-garlic-tofu/,url,Stir-fried spicy+salty+sweet asian garlic tofu,"['meal', 'side']"
45,"August 15, 2018",,['misc. tofu recipes'],https://thestingyvegan.com/tofu-for-beginners/,url,50 easy tofu recipes,"['meal', 'side', 'guide', 'simple']"
46,"August 15, 2018",,['crispy turnip balls'],http://www.vegansandra.com/2015/03/crispy-turnip-and-bean-balls.html,url,Super simple recipe turnip+bean balls.,"['simple', 'meal', 'side']"
47,"August 15, 2018",,"['chia pudding', 'cocoa', 'cold']",https://minimalistbaker.com/overnight-chocolate-chia-seed-pudding/,url,Cocoa chia pudding,"['simple', 'dessert', 'overnight']"
48,"August 15, 2018",,['5 ways to plate'],https://eatnorth.com/steph-tse/5-ways-plate-chef-home,url,Quick and simple guide to plating.,['guide']
49,"August 15, 2018",,['kale in 54 styles'],https://www.self.com/gallery/50-ways-to-eat-kale,url,Quick guide on 54 ways to cook kale.,"['guide', 'meal']"
50,"August 15, 2018",,"['sweet potato', 'kale', 'tofu', 'curry']",http://inpursuitofmore.com/2016/02/18/sweet-potato-kale-green-curry-with-tofu/,url,Sweet potato and kale green curry with tofu,['meal']
